installed_apps,to_be_removed,deleted_apps,disabled_apps,failed_to_clean
android,android.autoinstalls.config.Xiaomi.model,android.autoinstalls.config.Xiaomi.model,com.android.soundrecorder,
android.aosp.overlay,cn.wps.moffice_eng,cn.wps.moffice_eng,com.miui.calculator,
android.aosp.overlay.telephony,cn.wps.xiaomi.abroad.lite,cn.wps.xiaomi.abroad.lite,com.miui.compass,
android.auto_generated_characteristics_rro,com.android.calllogbackup,com.android.calllogbackup,com.miui.notes,
android.autoinstalls.config.Xiaomi.model,com.android.cameraextensions,com.android.cameraextensions,com.miui.screenrecorder,
android.miui.overlay,com.android.chrome,com.android.chrome,com.miui.weather2,
android.miui.overlay.telephony,com.android.deskclock,com.android.deskclock,com.xiaomi.midrop,
android.miui.poco.launcher.res,com.android.egg,com.android.egg,com.xiaomi.scanner,
cn.wps.moffice_eng,com.android.hotwordenrollment.okgoogle,com.android.hotwordenrollment.okgoogle,,
cn.wps.xiaomi.abroad.lite,com.android.hotwordenrollment.xgoogle,com.android.hotwordenrollment.xgoogle,,
com.android.angle,com.android.inputsettings.overlay.miui,com.android.inputsettings.overlay.miui,,
com.android.apps.tag,com.android.managedprovisioning.overlay,com.android.managedprovisioning.overlay,,
com.android.avatarpicker,com.android.microdroid.empty_payload,com.android.microdroid.empty_payload,,
com.android.backupconfirm,com.android.overlay.gmscontactprovider,com.android.overlay.gmscontactprovider,,
com.android.bips,com.android.overlay.gmssettingprovider,com.android.overlay.gmssettingprovider,,
com.android.bluetooth,com.android.overlay.gmssettings,com.android.overlay.gmssettings,,
com.android.bluetooth.overlay,com.android.overlay.gmstelecomm,com.android.overlay.gmstelecomm,,
com.android.bluetoothmidiservice,com.android.overlay.gmstelephony,com.android.overlay.gmstelephony,,
com.android.bookmarkprovider,com.android.providers.downloads.ui,com.android.providers.downloads.ui,,
com.android.calllogbackup,com.android.providers.partnerbookmarks,com.android.providers.partnerbookmarks,,
com.android.camera,com.android.role.notes.enabled,com.android.role.notes.enabled,,
com.android.cameraextensions,com.android.settings.overlay.miui,com.android.settings.overlay.miui,,
com.android.carrierconfig,com.android.soundrecorder,com.android.stk.overlay.miui,,
com.android.carrierconfig.overlay.miui,com.android.stk.overlay.miui,com.android.systemui.accessibility.accessibilitymenu,,
com.android.cellbroadcastreceiver,com.android.systemui.accessibility.accessibilitymenu,com.android.systemui.overlay.miui,,
com.android.certinstaller,com.android.systemui.overlay.miui,com.android.theme.font.notoserifsource,,
com.android.chrome,com.android.theme.font.notoserifsource,com.android.thememanager,,
com.android.companiondevicemanager,com.android.thememanager,com.android.traceur,,
com.android.companiondevicemanager.auto_generated_characteristics_rro,com.android.traceur,com.android.virtualmachine.res,,
com.android.compos.payload,com.android.virtualmachine.res,com.block.juggle,,
com.android.credentialmanager,com.block.juggle,com.block.puzzle.game.hippo.mi,,
com.android.cts.ctsshim,com.block.puzzle.game.hippo.mi,com.booking,,
com.android.cts.priv.ctsshim,com.booking,com.bsp.catchlog,,
com.android.deskclock,com.bsp.catchlog,com.debug.loggerui,,
com.android.DeviceAsWebcam,com.debug.loggerui,com.duokan.phone.remotecontroller,,
com.android.devicediagnostics,com.duokan.phone.remotecontroller,com.facebook.appmanager,,
com.android.dreams.basic,com.facebook.appmanager,com.facebook.katana,,
com.android.dreams.phototable,com.facebook.katana,com.facebook.services,,
com.android.dynsystem,com.facebook.services,com.facebook.system,,
com.android.egg,com.facebook.system,com.goodix.fingerprint.setting,,
com.android.emergency,com.goodix.fingerprint.setting,com.google.ambient.streaming,,
com.android.externalstorage,com.google.ambient.streaming,com.google.android.accessibility.switchaccess,,
com.android.hotwordenrollment.okgoogle,com.google.android.accessibility.switchaccess,com.google.android.adservices.api,,
com.android.hotwordenrollment.xgoogle,com.google.android.adservices.api,com.google.android.aicore,,
com.android.htmlviewer,com.google.android.aicore,com.google.android.apps.bard,,
com.android.imsserviceentitlement,com.google.android.apps.bard,com.google.android.apps.docs,,
com.android.inputdevices,com.google.android.apps.docs,com.google.android.apps.magazines,,
com.android.inputsettings.overlay.miui,com.google.android.apps.magazines,com.google.android.apps.maps,,
com.android.intentresolver,com.google.android.apps.maps,com.google.android.apps.messaging,,
